Statistic Label,Month,Main Reason for Travel,UNIT,VALUE
Number of Overnight Trips by Foreign Visitors,2024 March,All reasons for journey,Thousand,521.8
Number of Overnight Trips by Foreign Visitors,2024 April,Business,Thousand,86.6
Number of Overnight Trips by Foreign Visitors,2024 April,Holiday/leisure/recreation,Thousand,228.6
Number of Overnight Trips by Foreign Visitors,2024 April,Visit to friends/relatives,Thousand,196.9
Number of Overnight Trips by Foreign Visitors,2024 April,Other reason for journey,Thousand,37
Number of Overnight Trips by Foreign Visitors,2024 April,All reasons for journey,Thousand,549.1
Number of Overnight Trips by Foreign Visitors,2024 May,Business,Thousand,95.2
Number of Overnight Trips by Foreign Visitors,2024 May,Holiday/leisure/recreation,Thousand,280.4
Number of Overnight Trips by Foreign Visitors,2024 May,Visit to friends/relatives,Thousand,182
Number of Overnight Trips by Foreign Visitors,2024 May,Other reason for journey,Thousand,64.7
Number of Overnight Trips by Foreign Visitors,2024 May,All reasons for journey,Thousand,622.3
Number of Overnight Trips by Foreign Visitors,2024 June,Business,Thousand,106.9
Number of Overnight Trips by Foreign Visitors,2024 June,Holiday/leisure/recreation,Thousand,306.4
Number of Overnight Trips by Foreign Visitors,2024 June,Visit to friends/relatives,Thousand,191
Number of Overnight Trips by Foreign Visitors,2024 June,Other reason for journey,Thousand,65.2
Number of Overnight Trips by Foreign Visitors,2024 June,All reasons for journey,Thousand,669.5
Number of Overnight Trips by Foreign Visitors,2024 July,Business,Thousand,86
Number of Overnight Trips by Foreign Visitors,2024 July,Holiday/leisure/recreation,Thousand,299.5
Number of Overnight Trips by Foreign Visitors,2024 July,Visit to friends/relatives,Thousand,197.5
Number of Overnight Trips by Foreign Visitors,2024 July,Other reason for journey,Thousand,72.4
Number of Overnight Trips by Foreign Visitors,2024 July,All reasons for journey,Thousand,655.4
Number of Overnight Trips by Foreign Visitors,2024 August,Business,Thousand,75.5
Number of Overnight Trips by Foreign Visitors,2024 August,Holiday/leisure/recreation,Thousand,372.8
Number of Overnight Trips by Foreign Visitors,2024 August,Visit to friends/relatives,Thousand,246.9
Number of Overnight Trips by Foreign Visitors,2024 August,Other reason for journey,Thousand,68.5
Number of Overnight Trips by Foreign Visitors,2024 August,All reasons for journey,Thousand,763.6
Number of Overnight Trips by Foreign Visitors,2024 September,Business,Thousand,86.1
Number of Overnight Trips by Foreign Visitors,2024 September,Holiday/leisure/recreation,Thousand,274
Number of Overnight Trips by Foreign Visitors,2024 September,Visit to friends/relatives,Thousand,164.7
Number of Overnight Trips by Foreign Visitors,2024 September,Other reason for journey,Thousand,53.4
Number of Overnight Trips by Foreign Visitors,2024 September,All reasons for journey,Thousand,578.1
Number of Overnight Trips by Foreign Visitors,2024 October,Business,Thousand,92.8
Number of Overnight Trips by Foreign Visitors,2024 October,Holiday/leisure/recreation,Thousand,242.5
Number of Overnight Trips by Foreign Visitors,2024 October,Visit to friends/relatives,Thousand,163.9
Number of Overnight Trips by Foreign Visitors,2024 October,Other reason for journey,Thousand,49
Number of Overnight Trips by Foreign Visitors,2024 October,All reasons for journey,Thousand,548.1
Number of Overnight Trips by Foreign Visitors,2024 November,Business,Thousand,77.7
Number of Overnight Trips by Foreign Visitors,2024 November,Holiday/leisure/recreation,Thousand,140.2
Number of Overnight Trips by Foreign Visitors,2024 November,Visit to friends/relatives,Thousand,149.6
Number of Overnight Trips by Foreign Visitors,2024 November,Other reason for journey,Thousand,40.2
Number of Overnight Trips by Foreign Visitors,2024 November,All reasons for journey,Thousand,407.7
Number of Overnight Trips by Foreign Visitors,2024 December,Business,Thousand,55.6
Number of Overnight Trips by Foreign Visitors,2024 December,Holiday/leisure/recreation,Thousand,108
Number of Overnight Trips by Foreign Visitors,2024 December,Visit to friends/relatives,Thousand,184.5
Number of Overnight Trips by Foreign Visitors,2024 December,Other reason for journey,Thousand,42.6
Number of Overnight Trips by Foreign Visitors,2024 December,All reasons for journey,Thousand,390.7
Number of Overnight Trips by Foreign Visitors,2025 January,Business,Thousand,51.6
Number of Overnight Trips by Foreign Visitors,2025 January,Holiday/leisure/recreation,Thousand,92.2
Number of Overnight Trips by Foreign Visitors,2025 January,Visit to friends/relatives,Thousand,177.2
Number of Overnight Trips by Foreign Visitors,2025 January,Other reason for journey,Thousand,17.8
Number of Overnight Trips by Foreign Visitors,2025 January,All reasons for journey,Thousand,338.9
Number of Overnight Trips by Foreign Visitors,2023 January,Business,%,12.5
Number of Overnight Trips by Foreign Visitors,2023 January,Holiday/leisure/recreation,%,27
Number of Overnight Trips by Foreign Visitors,2023 January,Visit to friends/relatives,%,54.2
Number of Overnight Trips by Foreign Visitors,2023 January,Other reason for journey,%,6.3
Number of Overnight Trips by Foreign Visitors,2023 January,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 February,Business,%,19
Number of Overnight Trips by Foreign Visitors,2023 February,Holiday/leisure/recreation,%,29.2
Number of Overnight Trips by Foreign Visitors,2023 February,Visit to friends/relatives,%,40.4
Number of Overnight Trips by Foreign Visitors,2023 February,Other reason for journey,%,11.5
Number of Overnight Trips by Foreign Visitors,2023 February,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 March,Business,%,17.5
Number of Overnight Trips by Foreign Visitors,2023 March,Holiday/leisure/recreation,%,38.7
Number of Overnight Trips by Foreign Visitors,2023 March,Visit to friends/relatives,%,35
Number of Overnight Trips by Foreign Visitors,2023 March,Other reason for journey,%,8.8
Number of Overnight Trips by Foreign Visitors,2023 March,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 April,Business,%,13.6
Number of Overnight Trips by Foreign Visitors,2023 April,Holiday/leisure/recreation,%,36.5
Number of Overnight Trips by Foreign Visitors,2023 April,Visit to friends/relatives,%,42.8
Number of Overnight Trips by Foreign Visitors,2023 April,Other reason for journey,%,7.1
Number of Overnight Trips by Foreign Visitors,2023 April,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 May,Business,%,12.9
Number of Overnight Trips by Foreign Visitors,2023 May,Holiday/leisure/recreation,%,39.7
Number of Overnight Trips by Foreign Visitors,2023 May,Visit to friends/relatives,%,35.8
Number of Overnight Trips by Foreign Visitors,2023 May,Other reason for journey,%,11.6
Number of Overnight Trips by Foreign Visitors,2023 May,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 June,Business,%,14.3
Number of Overnight Trips by Foreign Visitors,2023 June,Holiday/leisure/recreation,%,42.6
Number of Overnight Trips by Foreign Visitors,2023 June,Visit to friends/relatives,%,33.1
Number of Overnight Trips by Foreign Visitors,2023 June,Other reason for journey,%,10
Number of Overnight Trips by Foreign Visitors,2023 June,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 July,Business,%,11
Number of Overnight Trips by Foreign Visitors,2023 July,Holiday/leisure/recreation,%,45
Number of Overnight Trips by Foreign Visitors,2023 July,Visit to friends/relatives,%,34.9
Number of Overnight Trips by Foreign Visitors,2023 July,Other reason for journey,%,9
Number of Overnight Trips by Foreign Visitors,2023 July,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 August,Business,%,11.1
Number of Overnight Trips by Foreign Visitors,2023 August,Holiday/leisure/recreation,%,47.2
