"C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"1","Holiday/leisure/recreation","20132","2013Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.2"
"1","Holiday/leisure/recreation","20132","2013Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","974"
"1","Holiday/leisure/recreation","20133","2013Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1156"
"1","Holiday/leisure/recreation","20133","2013Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"1","Holiday/leisure/recreation","20133","2013Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","727"
"1","Holiday/leisure/recreation","20133","2013Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1435"
"1","Holiday/leisure/recreation","20133","2013Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","11.2"
"1","Holiday/leisure/recreation","20133","2013Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1520"
"1","Holiday/leisure/recreation","20134","2013Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","575"
"1","Holiday/leisure/recreation","20134","2013Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"1","Holiday/leisure/recreation","20134","2013Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","262"
"1","Holiday/leisure/recreation","20134","2013Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","702"
"1","Holiday/leisure/recreation","20134","2013Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.2"
"1","Holiday/leisure/recreation","20134","2013Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","698"
"1","Holiday/leisure/recreation","20141","2014Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","475"
"1","Holiday/leisure/recreation","20141","2014Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"1","Holiday/leisure/recreation","20141","2014Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","194"
"1","Holiday/leisure/recreation","20141","2014Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","645"
"1","Holiday/leisure/recreation","20141","2014Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.8"
"1","Holiday/leisure/recreation","20141","2014Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","595"
"1","Holiday/leisure/recreation","20142","2014Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","957"
"1","Holiday/leisure/recreation","20142","2014Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"1","Holiday/leisure/recreation","20142","2014Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","502"
"1","Holiday/leisure/recreation","20142","2014Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1150"
"1","Holiday/leisure/recreation","20142","2014Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.2"
"1","Holiday/leisure/recreation","20142","2014Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1005"
"1","Holiday/leisure/recreation","20143","2014Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1250"
"1","Holiday/leisure/recreation","20143","2014Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"1","Holiday/leisure/recreation","20143","2014Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","811"
"1","Holiday/leisure/recreation","20143","2014Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1446"
"1","Holiday/leisure/recreation","20143","2014Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","11.1"
"1","Holiday/leisure/recreation","20143","2014Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1480"
"1","Holiday/leisure/recreation","20144","2014Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","642"
"1","Holiday/leisure/recreation","20144","2014Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"1","Holiday/leisure/recreation","20144","2014Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","316"
"1","Holiday/leisure/recreation","20144","2014Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","763"
"1","Holiday/leisure/recreation","20144","2014Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.9"
"1","Holiday/leisure/recreation","20144","2014Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","738"
"1","Holiday/leisure/recreation","20151","2015Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","538"
"1","Holiday/leisure/recreation","20151","2015Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"1","Holiday/leisure/recreation","20151","2015Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","219"
"1","Holiday/leisure/recreation","20151","2015Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","671"
"1","Holiday/leisure/recreation","20151","2015Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.1"
"1","Holiday/leisure/recreation","20151","2015Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","571"
"1","Holiday/leisure/recreation","20152","2015Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1184"
"1","Holiday/leisure/recreation","20152","2015Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"1","Holiday/leisure/recreation","20152","2015Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","717"
"1","Holiday/leisure/recreation","20152","2015Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1194"
"1","Holiday/leisure/recreation","20152","2015Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.8"
"1","Holiday/leisure/recreation","20152","2015Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1027"
"1","Holiday/leisure/recreation","20153","2015Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1485"
"1","Holiday/leisure/recreation","20153","2015Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"1","Holiday/leisure/recreation","20153","2015Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1002"
"1","Holiday/leisure/recreation","20153","2015Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1515"
"1","Holiday/leisure/recreation","20153","2015Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.7"
"1","Holiday/leisure/recreation","20153","2015Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1630"
"1","Holiday/leisure/recreation","20154","2015Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","795"
"1","Holiday/leisure/recreation","20154","2015Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"1","Holiday/leisure/recreation","20154","2015Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","392"
"1","Holiday/leisure/recreation","20154","2015Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","828"
"1","Holiday/leisure/recreation","20154","2015Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.3"
"1","Holiday/leisure/recreation","20154","2015Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","860"
"1","Holiday/leisure/recreation","20161","2016Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","691"
"1","Holiday/leisure/recreation","20161","2016Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"1","Holiday/leisure/recreation","20161","2016Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","282"
"1","Holiday/leisure/recreation","20161","2016Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","798"
"1","Holiday/leisure/recreation","20161","2016Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.1"
"1","Holiday/leisure/recreation","20161","2016Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","794"
"1","Holiday/leisure/recreation","20162","2016Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1257"
"1","Holiday/leisure/recreation","20162","2016Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"1","Holiday/leisure/recreation","20162","2016Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","738"
"1","Holiday/leisure/recreation","20162","2016Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1274"
"1","Holiday/leisure/recreation","20162","2016Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.2"
"1","Holiday/leisure/recreation","20162","2016Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1128"
"1","Holiday/leisure/recreation","20163","2016Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1574"
"1","Holiday/leisure/recreation","20163","2016Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"1","Holiday/leisure/recreation","20163","2016Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1073"
"1","Holiday/leisure/recreation","20163","2016Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1589"
"1","Holiday/leisure/recreation","20163","2016Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.8"
"1","Holiday/leisure/recreation","20163","2016Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1787"
"1","Holiday/leisure/recreation","20164","2016Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","866"
"1","Holiday/leisure/recreation","20164","2016Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"1","Holiday/leisure/recreation","20164","2016Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","455"
"1","Holiday/leisure/recreation","20164","2016Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","902"
"1","Holiday/leisure/recreation","20164","2016Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.5"
"1","Holiday/leisure/recreation","20164","2016Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","899"
"1","Holiday/leisure/recreation","20171","2017Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","691"
"1","Holiday/leisure/recreation","20171","2017Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"1","Holiday/leisure/recreation","20171","2017Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","283"
"1","Holiday/leisure/recreation","20171","2017Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","855"
"1","Holiday/leisure/recreation","20171","2017Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.1"
"1","Holiday/leisure/recreation","20171","2017Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","763"
"1","Holiday/leisure/recreation","20172","2017Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1419"
"1","Holiday/leisure/recreation","20172","2017Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"1","Holiday/leisure/recreation","20172","2017Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","861"
"1","Holiday/leisure/recreation","20172","2017Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1345"
"1","Holiday/leisure/recreation","20172","2017Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.1"
"1","Holiday/leisure/recreation","20172","2017Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1227"
"1","Holiday/leisure/recreation","20173","2017Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1632"
"1","Holiday/leisure/recreation","20173","2017Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"1","Holiday/leisure/recreation","20173","2017Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1106"
"1","Holiday/leisure/recreation","20173","2017Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1808"
"1","Holiday/leisure/recreation","20173","2017Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.1"
"1","Holiday/leisure/recreation","20173","2017Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1944"
"1","Holiday/leisure/recreation","20174","2017Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","968"
"1","Holiday/leisure/recreation","20174","2017Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"1","Holiday/leisure/recreation","20174","2017Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","507"
"1","Holiday/leisure/recreation","20174","2017Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1050"
"1","Holiday/leisure/recreation","20174","2017Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7"
"1","Holiday/leisure/recreation","20174","2017Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","977"
"1","Holiday/leisure/recreation","20181","2018Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","796"
"1","Holiday/leisure/recreation","20181","2018Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"1","Holiday/leisure/recreation","20181","2018Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","350"
"1","Holiday/leisure/recreation","20181","2018Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","928"
"1","Holiday/leisure/recreation","20181","2018Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.2"
"1","Holiday/leisure/recreation","20181","2018Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","908"
"1","Holiday/leisure/recreation","20182","2018Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1545"
"1","Holiday/leisure/recreation","20182","2018Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"1","Holiday/leisure/recreation","20182","2018Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","925"
"1","Holiday/leisure/recreation","20182","2018Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1522"
"1","Holiday/leisure/recreation","20182","2018Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.6"
"1","Holiday/leisure/recreation","20182","2018Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1391"
"1","Holiday/leisure/recreation","20183","2018Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1802"
"1","Holiday/leisure/recreation","20183","2018Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"1","Holiday/leisure/recreation","20183","2018Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1249"
"1","Holiday/leisure/recreation","20183","2018Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1845"
"1","Holiday/leisure/recreation","20183","2018Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.1"
"1","Holiday/leisure/recreation","20183","2018Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1961"
"1","Holiday/leisure/recreation","20184","2018Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1092"
"1","Holiday/leisure/recreation","20184","2018Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"1","Holiday/leisure/recreation","20184","2018Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","582"
"1","Holiday/leisure/recreation","20184","2018Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1081"
"1","Holiday/leisure/recreation","20184","2018Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.1"
"1","Holiday/leisure/recreation","20184","2018Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1049"
"1","Holiday/leisure/recreation","20191","2019Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","827"
"1","Holiday/leisure/recreation","20191","2019Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"1","Holiday/leisure/recreation","20191","2019Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","350"
"1","Holiday/leisure/recreation","20191","2019Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1013"
"1","Holiday/leisure/recreation","20191","2019Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.2"
"1","Holiday/leisure/recreation","20191","2019Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1043"
"1","Holiday/leisure/recreation","20192","2019Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1551"
"1","Holiday/leisure/recreation","20192","2019Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"1","Holiday/leisure/recreation","20192","2019Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","985"
"1","Holiday/leisure/recreation","20192","2019Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1629"
"1","Holiday/leisure/recreation","20192","2019Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.9"
"1","Holiday/leisure/recreation","20192","2019Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1568"
"1","Holiday/leisure/recreation","20193","2019Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1798"
"1","Holiday/leisure/recreation","20193","2019Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"1","Holiday/leisure/recreation","20193","2019Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1252"
"1","Holiday/leisure/recreation","20193","2019Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1940"
"1","Holiday/leisure/recreation","20193","2019Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.3"
"1","Holiday/leisure/recreation","20193","2019Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","2151"
"1","Holiday/leisure/recreation","20194","2019Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1040"
"1","Holiday/leisure/recreation","20194","2019Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"1","Holiday/leisure/recreation","20194","2019Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","487"
"1","Holiday/leisure/recreation","20194","2019Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1161"
"1","Holiday/leisure/recreation","20194","2019Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.4"
"1","Holiday/leisure/recreation","20194","2019Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1157"
"2","Visit to friends/relatives","20121","2012Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","392"
"2","Visit to friends/relatives","20121","2012Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"2","Visit to friends/relatives","20121","2012Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","129"
"2","Visit to friends/relatives","20121","2012Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","348"
"2","Visit to friends/relatives","20121","2012Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8"
"2","Visit to friends/relatives","20121","2012Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","193"
"2","Visit to friends/relatives","20122","2012Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","465"
"2","Visit to friends/relatives","20122","2012Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"2","Visit to friends/relatives","20122","2012Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","151"
"2","Visit to friends/relatives","20122","2012Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","376"
"2","Visit to friends/relatives","20122","2012Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.3"
"2","Visit to friends/relatives","20122","2012Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","180"
"2","Visit to friends/relatives","20123","2012Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","517"
"2","Visit to friends/relatives","20123","2012Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"2","Visit to friends/relatives","20123","2012Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","164"
"2","Visit to friends/relatives","20123","2012Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","398"
"2","Visit to friends/relatives","20123","2012Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.1"
"2","Visit to friends/relatives","20123","2012Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","255"
"2","Visit to friends/relatives","20124","2012Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","444"
"2","Visit to friends/relatives","20124","2012Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"2","Visit to friends/relatives","20124","2012Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","144"
"2","Visit to friends/relatives","20124","2012Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","386"
"2","Visit to friends/relatives","20124","2012Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.2"
"2","Visit to friends/relatives","20124","2012Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","191"
"2","Visit to friends/relatives","20131","2013Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","425"
"2","Visit to friends/relatives","20131","2013Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"2","Visit to friends/relatives","20131","2013Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","128"
"2","Visit to friends/relatives","20131","2013Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","384"
"2","Visit to friends/relatives","20131","2013Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.3"
"2","Visit to friends/relatives","20131","2013Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","205"
"2","Visit to friends/relatives","20132","2013Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","455"
"2","Visit to friends/relatives","20132","2013Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"2","Visit to friends/relatives","20132","2013Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","139"
"2","Visit to friends/relatives","20132","2013Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","378"
"2","Visit to friends/relatives","20132","2013Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6"
"2","Visit to friends/relatives","20132","2013Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","196"
"2","Visit to friends/relatives","20133","2013Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","602"
"2","Visit to friends/relatives","20133","2013Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"2","Visit to friends/relatives","20133","2013Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","232"
"2","Visit to friends/relatives","20133","2013Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","374"
"2","Visit to friends/relatives","20133","2013Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.2"
"2","Visit to friends/relatives","20133","2013Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","221"
"2","Visit to friends/relatives","20134","2013Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","532"
"2","Visit to friends/relatives","20134","2013Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"2","Visit to friends/relatives","20134","2013Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","171"
"2","Visit to friends/relatives","20134","2013Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","322"
"2","Visit to friends/relatives","20134","2013Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.6"
"2","Visit to friends/relatives","20134","2013Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","162"
"2","Visit to friends/relatives","20141","2014Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","466"
"2","Visit to friends/relatives","20141","2014Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"2","Visit to friends/relatives","20141","2014Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","170"
"2","Visit to friends/relatives","20141","2014Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","323"
"2","Visit to friends/relatives","20141","2014Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7"
"2","Visit to friends/relatives","20141","2014Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","169"
"2","Visit to friends/relatives","20142","2014Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","574"
"2","Visit to friends/relatives","20142","2014Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"2","Visit to friends/relatives","20142","2014Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","195"
"2","Visit to friends/relatives","20142","2014Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","415"
"2","Visit to friends/relatives","20142","2014Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.9"
"2","Visit to friends/relatives","20142","2014Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","223"
