"C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All reasons for journey","20134","2013Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.7"
"-","All reasons for journey","20134","2013Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1066"
"-","All reasons for journey","20141","2014Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1343"
"-","All reasons for journey","20141","2014Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"-","All reasons for journey","20141","2014Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","534"
"-","All reasons for journey","20141","2014Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1154"
"-","All reasons for journey","20141","2014Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7"
"-","All reasons for journey","20141","2014Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","894"
"-","All reasons for journey","20142","2014Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","2127"
"-","All reasons for journey","20142","2014Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"-","All reasons for journey","20142","2014Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1001"
"-","All reasons for journey","20142","2014Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1791"
"-","All reasons for journey","20142","2014Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.4"
"-","All reasons for journey","20142","2014Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1429"
"-","All reasons for journey","20143","2014Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","2440"
"-","All reasons for journey","20143","2014Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"-","All reasons for journey","20143","2014Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1303"
"-","All reasons for journey","20143","2014Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","2112"
"-","All reasons for journey","20143","2014Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.2"
"-","All reasons for journey","20143","2014Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1942"
"-","All reasons for journey","20144","2014Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1695"
"-","All reasons for journey","20144","2014Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"-","All reasons for journey","20144","2014Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","711"
"-","All reasons for journey","20144","2014Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1458"
"-","All reasons for journey","20144","2014Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.8"
"-","All reasons for journey","20144","2014Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1176"
"-","All reasons for journey","20151","2015Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1531"
"-","All reasons for journey","20151","2015Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"-","All reasons for journey","20151","2015Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","590"
"-","All reasons for journey","20151","2015Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1306"
"-","All reasons for journey","20151","2015Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.1"
"-","All reasons for journey","20151","2015Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","980"
"-","All reasons for journey","20152","2015Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","2345"
"-","All reasons for journey","20152","2015Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"-","All reasons for journey","20152","2015Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1194"
"-","All reasons for journey","20152","2015Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1928"
"-","All reasons for journey","20152","2015Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.8"
"-","All reasons for journey","20152","2015Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1475"
"-","All reasons for journey","20153","2015Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","2771"
"-","All reasons for journey","20153","2015Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"-","All reasons for journey","20153","2015Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1551"
"-","All reasons for journey","20153","2015Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","2186"
"-","All reasons for journey","20153","2015Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.5"
"-","All reasons for journey","20153","2015Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","2096"
"-","All reasons for journey","20154","2015Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1996"
"-","All reasons for journey","20154","2015Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"-","All reasons for journey","20154","2015Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","873"
"-","All reasons for journey","20154","2015Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1545"
"-","All reasons for journey","20154","2015Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.1"
"-","All reasons for journey","20154","2015Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1292"
"-","All reasons for journey","20161","2016Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1785"
"-","All reasons for journey","20161","2016Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"-","All reasons for journey","20161","2016Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","693"
"-","All reasons for journey","20161","2016Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1478"
"-","All reasons for journey","20161","2016Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.2"
"-","All reasons for journey","20161","2016Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1181"
"-","All reasons for journey","20162","2016Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","2599"
"-","All reasons for journey","20162","2016Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"-","All reasons for journey","20162","2016Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1261"
"-","All reasons for journey","20162","2016Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1975"
"-","All reasons for journey","20162","2016Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.1"
